tab 	er_samples
sample_dip	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_type	sample_bed_dip	er_location_name	sample_height	magic_method_codes	sample_azimuth	sample_class
-60	87.0	This study		Z40	Z40.3		46	unknown	533.2	SO-CMD-NORTH	68.5	
-51	87.0	This study		Z40	Z40.4		46	unknown	533.2	SO-CMD-NORTH	64.5	
-21	87.0	This study		Z40	Z40.5		46	unknown	533	SO-CMD-NORTH	85.5	
-16	87.0	This study		Z40	Z40.6		46	unknown	533	SO-CMD-NORTH	94.5	
-18	87.0	This study		Z40	Z40.7		46	unknown	533	SO-CMD-NORTH	104.5	
-51	87.0	This study		Z40	Z40.8		46	unknown	534.5	SO-CMD-NORTH	10.5	
-48	87.0	This study		Z40	Z40.9		46	unknown	534.5	SO-CMD-NORTH	5.5	
-45	84.0	This study		Z41	Z41.1		55	unknown	153.1	SO-CMD-NORTH	55.5	
-35	84.0	This study		Z41	Z41.2		55	unknown	152.2	SO-CMD-NORTH	107.5	
-27	84.0	This study		Z41	Z41.3		55	unknown	152.8	SO-CMD-NORTH	134.5	
-37	84.0	This study		Z41	Z41.4		55	unknown	151.4	SO-CMD-NORTH	21.5	
-33	84.0	This study		Z41	Z41.5		55	unknown	153	SO-CMD-NORTH	295.5	
-36	84.0	This study		Z41	Z41.6		55	unknown	153	SO-CMD-NORTH	305.5	
-17	84.0	This study		Z41	Z41.7		55	unknown	153.1	SO-CMD-NORTH	298.5	
-16	84.0	This study		Z41	Z41.8		55	unknown	153.1	SO-CMD-NORTH	308.5	
-21	87.0	This study		Z42	Z42.1		37	unknown	594.5	SO-CMD-NORTH	24.5	
-23	87.0	This study		Z42	Z42.2		37	unknown	595.1	SO-CMD-NORTH	346.5	
-29	87.0	This study		Z42	Z42.3		37	unknown	594.9	SO-CMD-NORTH	68.5	
-25	87.0	This study		Z42	Z42.4		37	unknown	595.7	SO-CMD-NORTH	14.5	
-28	87.0	This study		Z42	Z42.5		37	unknown	596.1	SO-CMD-NORTH	20.5	
-15	87.0	This study		Z42	Z42.6		37	unknown	596.2	SO-CMD-NORTH	337.5	
-20	87.0	This study		Z42	Z42.7		37	unknown	596.3	SO-CMD-NORTH	357.5	
-51	87.0	This study		Z42	Z42.8		37	unknown	594.9	SO-CMD-NORTH	49.5	
-41	87.0	This study		Z43	Z43.1		37	unknown	622.9	SO-CMD-NORTH	128.5	
-76	87.0	This study		Z43	Z43.2		37	unknown	623.2	SO-CMD-NORTH	81.5	
-45	87.0	This study		Z43	Z43.3		37	unknown	623.3	SO-CMD-NORTH	89.5	
-65	87.0	This study		Z43	Z43.4		37	unknown	622.9	SO-CMD-NORTH	104.5	
-18	87.0	This study		Z43	Z43.5		37	unknown	622.9	SO-CMD-NORTH	259.5	
-52	87.0	This study		Z43	Z43.6		37	unknown	622.7	SO-CMD-NORTH	68.5	
-51	87.0	This study		Z43	Z43.7		37	unknown	623.4	SO-CMD-NORTH	95.5	
-48	87.0	This study		Z43	Z43.8		37	unknown	623.5	SO-CMD-NORTH	98.5	
-48	87.0	This study		Z44	Z44.1		37	unknown	623.8	SO-CMD-NORTH	82.5	
-25	87.0	This study		Z44	Z44.2		37	unknown	623.8	SO-CMD-NORTH	358.5	
-50	87.0	This study		Z44	Z44.3		37	unknown	624	SO-CMD-NORTH	70.5	
-56	87.0	This study		Z44	Z44.4		37	unknown	623.7	SO-CMD-NORTH	100.5	
-70	87.0	This study		Z44	Z44.5		37	unknown	623.7	SO-CMD-NORTH	136.5	
-62	87.0	This study		Z44	Z44.6		37	unknown	623.9	SO-CMD-NORTH	140.5	
-72	87.0	This study		Z44	Z44.7		37	unknown	624.1	SO-CMD-NORTH	54.5	
-40	87.0	This study		Z45	Z45.1		37	unknown	648.3	SO-CMD-NORTH	25.5	
-13	87.0	This study		Z45	Z45.2		37	unknown	648.5	SO-CMD-NORTH	355.5	
-62	87.0	This study		Z45	Z45.3		37	unknown	649.4	SO-CMD-NORTH	84.5	
-75	87.0	This study		Z45	Z45.4		37	unknown	649.3	SO-CMD-NORTH	92.5	
-66	87.0	This study		Z45	Z45.5		37	unknown	649.5	SO-CMD-NORTH	63.5	
-22	87.0	This study		Z45	Z45.6		37	unknown	648.6	SO-CMD-NORTH	89.5	
-30	87.0	This study		Z45	Z45.7		37	unknown	648.6	SO-CMD-NORTH	59.5	
-73	87.0	This study		Z45	Z45.8		37	unknown	648.9	SO-CMD-NORTH	11.5	
-19	87.0	This study		Z46	Z46.1		37	unknown	670.5	SO-CMD-NORTH	28.5	
-73	87.0	This study		Z46	Z46.2		37	unknown	671.9	SO-CMD-NORTH	75.5	
-12	87.0	This study		Z46	Z46.3		37	unknown	672	SO-CMD-NORTH	98.5	
-13	87.0	This study		Z46	Z46.4		37	unknown	672.2	SO-CMD-NORTH	40.5	
-5	87.0	This study		Z46	Z46.5		37	unknown	672.4	SO-CMD-NORTH	63.5	
-29	87.0	This study		Z46	Z46.6		37	unknown	673	SO-CMD-NORTH	62.5	
-26	87.0	This study		Z46	Z46.7		37	unknown	674.1	SO-CMD-NORTH	83.5	
-38	87.0	This study		Z46	Z46.8		37	unknown	673.8	SO-CMD-NORTH	47.5	
-31	87.0	This study		Z47	Z47.1		37	unknown	682.7	SO-CMD-NORTH	31.5	
-33	87.0	This study		Z47	Z47.2		37	unknown	682.6	SO-CMD-NORTH	43.5	
-33	87.0	This study		Z47	Z47.3		37	unknown	682.9	SO-CMD-NORTH	41.5	
-73	87.0	This study		Z47	Z47.4		37	unknown	683.2	SO-CMD-NORTH	39.5	
-42	87.0	This study		Z47	Z47.5		37	unknown	683.3	SO-CMD-NORTH	64.5	
-36	87.0	This study		Z47	Z47.6		37	unknown	683.6	SO-CMD-NORTH	57.5	
-65	87.0	This study		Z47	Z47.7		37	unknown	683.8	SO-CMD-NORTH	53.5	
-30	87.0	This study		Z47	Z47.8		37	unknown	684.6	SO-CMD-NORTH	15.5	
-22	91.0	This study		Z48	Z48.1		28	unknown	693.5	SO-CMD-NORTH	50.5	
-23	91.0	This study		Z48	Z48.2		28	unknown	693.6	SO-CMD-NORTH	8.5	
-14	91.0	This study		Z48	Z48.3		28	unknown	693.9	SO-CMD-NORTH	17.5	
-21	91.0	This study		Z48	Z48.4		28	unknown	693.7	SO-CMD-NORTH	5.5	
-18	91.0	This study		Z48	Z48.5		28	unknown	693.9	SO-CMD-NORTH	346.5	
-50	91.0	This study		Z48	Z48.6		28	unknown	694.3	SO-CMD-NORTH	35.5	
-38	91.0	This study		Z48	Z48.7		28	unknown	695.4	SO-CMD-NORTH	24.5	
-36	91.0	This study		Z48	Z48.8		28	unknown	695.3	SO-CMD-NORTH	78.5	
-8	91.0	This study		Z49	Z49.1		28	unknown	708.1	SO-CMD-NORTH	175.5	
-37	91.0	This study		Z49	Z49.2		28	unknown	707.9	SO-CMD-NORTH	44.5	
-19	91.0	This study		Z49	Z49.3		28	unknown	707.1	SO-CMD-NORTH	346.5	
-64	91.0	This study		Z49	Z49.4		28	unknown	707.4	SO-CMD-NORTH	353.5	
-63	91.0	This study		Z49	Z49.5		28	unknown	707	SO-CMD-NORTH	66.5	
-7	91.0	This study		Z49	Z49.6		28	unknown	707.7	SO-CMD-NORTH	184.5	
-15	91.0	This study		Z49	Z49.7		28	unknown	708.6	SO-CMD-NORTH	243.5	
-51	91.0	This study		Z50	Z50.1		28	unknown	720.9	SO-CMD-NORTH	85.5	
-52	91.0	This study		Z50	Z50.2		28	unknown	721.1	SO-CMD-NORTH	58.5	
-54	91.0	This study		Z50	Z50.3		28	unknown	721.1	SO-CMD-NORTH	58.5	
-30	91.0	This study		Z50	Z50.4		28	unknown	721.7	SO-CMD-NORTH	60.5	
-36	91.0	This study		Z50	Z50.5		28	unknown	722.3	SO-CMD-NORTH	45.5	
-25	91.0	This study		Z50	Z50.6		28	unknown	721.2	SO-CMD-NORTH	48.5	
-58	91.0	This study		Z50	Z50.7		28	unknown	720.9	SO-CMD-NORTH	73.5	
-59	91.0	This study		Z50	Z50.8		28	unknown	720.9	SO-CMD-NORTH	85.5	
-33	91.0	This study		Z51	Z51.1		28	unknown	733.5	SO-CMD-NORTH	91.5	
-52	91.0	This study		Z51	Z51.2		28	unknown	733.7	SO-CMD-NORTH	80.5	
-60	91.0	This study		Z51	Z51.3		28	unknown	733.8	SO-CMD-NORTH	67.5	
-56	91.0	This study		Z51	Z51.4		28	unknown	734.2	SO-CMD-NORTH	108.5	
-59	91.0	This study		Z51	Z51.5		28	unknown	734.5	SO-CMD-NORTH	110.5	
-53	91.0	This study		Z51	Z51.6		28	unknown	734.1	SO-CMD-NORTH	100.5	
-78	91.0	This study		Z51	Z51.8		28	unknown	734.6	SO-CMD-NORTH	58.5	
-56	91.0	This study		Z52	Z52.1		28	unknown	739.9	SO-CMD-NORTH	114.5	
-12	91.0	This study		Z52	Z52.2		28	unknown	738.9	SO-CMD-NORTH	89.5	
-49	91.0	This study		Z52	Z52.5		28	unknown	738.6	SO-CMD-NORTH	78.5	
-55	91.0	This study		Z52	Z52.6		28	unknown	739.4	SO-CMD-NORTH	123.5	
-42	91.0	This study		Z52	Z52.7		28	unknown	739.8	SO-CMD-NORTH	125.5	
-50	91.0	This study		Z52	Z52.8		28	unknown	740.7	SO-CMD-NORTH	129.5	
-25	88.0	This study		Z53	Z53.1		58	unknown	595.3	SO-CMD-NORTH	310.5	
-25	88.0	This study		Z53	Z53.2		58	unknown	595.6	SO-CMD-NORTH	292.5	
-24	88.0	This study		Z53	Z53.3		58	unknown	595.8	SO-CMD-NORTH	302.5	
-51	88.0	This study		Z53	Z53.4		58	unknown	596.7	SO-CMD-NORTH	296.5	
-32	88.0	This study		Z53	Z53.5		58	unknown	597.4	SO-CMD-NORTH	285.5	
-23	88.0	This study		Z53	Z53.6		58	unknown	595.8	SO-CMD-NORTH	277.5	
-15	88.0	This study		Z53	Z53.7		58	unknown	596.4	SO-CMD-NORTH	58.5	
-18	88.0	This study		Z53	Z53.8		58	unknown	597.2	SO-CMD-NORTH	212.5	
-23	88.0	This study		Z54	Z54.1		58	unknown	672.6	SO-CMD-NORTH	301.5	
-13	88.0	This study		Z54	Z54.2		58	unknown	673.6	SO-CMD-NORTH	30.5	
-36	88.0	This study		Z54	Z54.3		58	unknown	674.7	SO-CMD-NORTH	263.5	
-77	88.0	This study		Z54	Z54.4		58	unknown	675.2	SO-CMD-NORTH	258.5	
-16	88.0	This study		Z54	Z54.5		58	unknown	673.7	SO-CMD-NORTH	271.5	
-12	88.0	This study		Z54	Z54.6		58	unknown	674.9	SO-CMD-NORTH	265.5	
-14	88.0	This study		Z54	Z54.7		58	unknown	675.1	SO-CMD-NORTH	267.5	
-61	88.0	This study		Z54	Z54.8		58	unknown	674.1	SO-CMD-NORTH	268.5	
-30	88.0	This study		Z55	Z55.1		58	unknown	709	SO-CMD-NORTH	323.5	
-53	88.0	This study		Z55	Z55.2		58	unknown	709.5	SO-CMD-NORTH	340.5	
-65	88.0	This study		Z55	Z55.3		58	unknown	709.9	SO-CMD-NORTH	341.5	
-33	88.0	This study		Z55	Z55.4		58	unknown	710.9	SO-CMD-NORTH	279.5	
-18	88.0	This study		Z55	Z55.5		58	unknown	711	SO-CMD-NORTH	276.5	
-19	88.0	This study		Z55	Z55.6		58	unknown	710.8	SO-CMD-NORTH	277.5	
-20	88.0	This study		Z55	Z55.7		58	unknown	712.6	SO-CMD-NORTH	260.5	
-26	88.0	This study		Z55	Z55.8		58	unknown	712.8	SO-CMD-NORTH	254.5	
-56	165.0	This study		Z56	Z56.1		24	unknown	18.8	SO-CMD-NORTH	33.5	
-60	165.0	This study		Z56	Z56.2		24	unknown	18.8	SO-CMD-NORTH	75.5	
-71	165.0	This study		Z56	Z56.3		24	unknown	18.8	SO-CMD-NORTH	171.5	
-69	165.0	This study		Z56	Z56.4		24	unknown	18.8	SO-CMD-NORTH	183.5	
-74	165.0	This study		Z56	Z56.5		24	unknown	18.8	SO-CMD-NORTH	165.5	
-53	165.0	This study		Z56	Z56.6		24	unknown	18.8	SO-CMD-NORTH	156.5	
-77	165.0	This study		Z57	Z57.1		24	unknown	68.6	SO-CMD-NORTH	154.5	
-58	165.0	This study		Z57	Z57.2		24	unknown	68.6	SO-CMD-NORTH	200.5	
-96	165.0	This study		Z57	Z57.3		24	unknown	68.6	SO-CMD-NORTH	90.5	
-45	165.0	This study		Z57	Z57.4		24	unknown	68.6	SO-CMD-NORTH	86.5	
-77	165.0	This study		Z57	Z57.5		24	unknown	68.6	SO-CMD-NORTH	119.5	
-75	165.0	This study		Z57	Z57.6		24	unknown	68.6	SO-CMD-NORTH	55.5	
-17	165.0	This study		Z58	Z58.1		24	unknown	72.4	SO-CMD-NORTH	27.5	
-51	165.0	This study		Z58	Z58.2		24	unknown	72.4	SO-CMD-NORTH	104.5	
-38	165.0	This study		Z58	Z58.3		24	unknown	72.4	SO-CMD-NORTH	80.5	
-41	165.0	This study		Z58	Z58.4		24	unknown	72.4	SO-CMD-NORTH	92.5	
-20	165.0	This study		Z58	Z58.5		24	unknown	72.4	SO-CMD-NORTH	66.5	
-76	165.0	This study		Z58	Z58.6		24	unknown	72.4	SO-CMD-NORTH	121.5	
>>>>>>>>>>
tab 	er_specimens
specimen_weight	er_citation_names	specimen_volume	er_site_name	er_sample_name	er_location_name	er_specimen_name
1.000e-03	This study		Z30	Z30.1	unknown	Z30.1a
1.000e-03	This study		Z30	Z30.2	unknown	Z30.2a
1.000e-03	This study		Z30	Z30.3	unknown	Z30.3a
1.000e-03	This study		Z30	Z30.4	unknown	Z30.4a
1.000e-03	This study		Z30	Z30.5	unknown	Z30.5a
1.000e-03	This study		Z30	Z30.6	unknown	Z30.6a
1.000e-03	This study		Z30	Z30.8	unknown	Z30.8a
1.000e-03	This study		Z31	Z31.1	unknown	Z31.1a
1.000e-03	This study		Z31	Z31.2	unknown	Z31.2a
1.000e-03	This study		Z31	Z31.3	unknown	Z31.3a
1.000e-03	This study		Z31	Z31.4	unknown	Z31.4a
1.000e-03	This study		Z31	Z31.5	unknown	Z31.5a
1.000e-03	This study		Z31	Z31.6	unknown	Z31.6a
1.000e-03	This study		Z31	Z31.7	unknown	Z31.7a
1.000e-03	This study		Z31	Z31.8	unknown	Z31.8a
1.000e-03	This study		Z32	Z32.1	unknown	Z32.1a
1.000e-03	This study		Z32	Z32.2	unknown	Z32.2a
1.000e-03	This study		Z32	Z32.3	unknown	Z32.3a
1.000e-03	This study		Z32	Z32.4	unknown	Z32.4a
1.000e-03	This study		Z32	Z32.5	unknown	Z32.5a
1.000e-03	This study		Z32	Z32.6	unknown	Z32.6a
1.000e-03	This study		Z32	Z32.7	unknown	Z32.7a
1.000e-03	This study		Z32	Z32.8	unknown	Z32.8a
1.000e-03	This study		Z32	Z32.9	unknown	Z32.9a
1.000e-03	This study		Z33	Z33.1	unknown	Z33.1a
1.000e-03	This study		Z33	Z33.2	unknown	Z33.2a
1.000e-03	This study		Z33	Z33.3	unknown	Z33.3a
1.000e-03	This study		Z33	Z33.4	unknown	Z33.4a
1.000e-03	This study		Z33	Z33.5	unknown	Z33.5a
1.000e-03	This study		Z33	Z33.6	unknown	Z33.6a
1.000e-03	This study		Z33	Z33.7	unknown	Z33.7a
1.000e-03	This study		Z33	Z33.8	unknown	Z33.8a
1.000e-03	This study		Z34	Z34.1	unknown	Z34.1a
1.000e-03	This study		Z34	Z34.2	unknown	Z34.2a
1.000e-03	This study		Z34	Z34.3	unknown	Z34.3a
1.000e-03	This study		Z34	Z34.4	unknown	Z34.4a
1.000e-03	This study		Z34	Z34.5	unknown	Z34.5a
1.000e-03	This study		Z34	Z34.6	unknown	Z34.6a
1.000e-03	This study		Z34	Z34.7	unknown	Z34.7a
1.000e-03	This study		Z34	Z34.8	unknown	Z34.8a
1.000e-03	This study		Z34	Z34.9	unknown	Z34.9a
1.000e-03	This study		Z34	Z34.10	unknown	Z34.10a
1.000e-03	This study		Z35	Z35.1	unknown	Z35.1a
1.000e-03	This study		Z35	Z35.2	unknown	Z35.2a
1.000e-03	This study		Z35	Z35.3	unknown	Z35.3a
1.000e-03	This study		Z35	Z35.4	unknown	Z35.4a
1.000e-03	This study		Z35	Z35.5	unknown	Z35.5a
1.000e-03	This study		Z35	Z35.6	unknown	Z35.6a
1.000e-03	This study		Z35	Z35.7	unknown	Z35.7a
1.000e-03	This study		Z36	Z36.1	unknown	Z36.1a
1.000e-03	This study		Z36	Z36.2	unknown	Z36.2a
1.000e-03	This study		Z36	Z36.3	unknown	Z36.3a
1.000e-03	This study		Z36	Z36.4	unknown	Z36.4a
1.000e-03	This study		Z36	Z36.5	unknown	Z36.5a
1.000e-03	This study		Z36	Z36.6	unknown	Z36.6a
1.000e-03	This study		Z36	Z36.7	unknown	Z36.7a
1.000e-03	This study		Z36	Z36.8	unknown	Z36.8a
1.000e-03	This study		Z37	Z37.1	unknown	Z37.1a
1.000e-03	This study		Z37	Z37.2	unknown	Z37.2a
1.000e-03	This study		Z37	Z37.3	unknown	Z37.3a
1.000e-03	This study		Z37	Z37.4	unknown	Z37.4a
1.000e-03	This study		Z37	Z37.5	unknown	Z37.5a
1.000e-03	This study		Z37	Z37.6	unknown	Z37.6a
1.000e-03	This study		Z37	Z37.7	unknown	Z37.7a
1.000e-03	This study		Z37	Z37.8	unknown	Z37.8a
1.000e-03	This study		Z37	Z37.9	unknown	Z37.9a
1.000e-03	This study		Z38	Z38.1	unknown	Z38.1a
1.000e-03	This study		Z38	Z38.2	unknown	Z38.2a
1.000e-03	This study		Z38	Z38.3	unknown	Z38.3a
1.000e-03	This study		Z38	Z38.4	unknown	Z38.4a
1.000e-03	This study		Z38	Z38.5	unknown	Z38.5a
1.000e-03	This study		Z38	Z38.6	unknown	Z38.6a
1.000e-03	This study		Z38	Z38.7	unknown	Z38.7a
1.000e-03	This study		Z38	Z38.8	unknown	Z38.8a
1.000e-03	This study		Z38	Z38.9	unknown	Z38.9a
1.000e-03	This study		Z38	Z38.10	unknown	Z38.10a
1.000e-03	This study		Z39	Z39.1	unknown	Z39.1a
1.000e-03	This study		Z39	Z39.2	unknown	Z39.2a
1.000e-03	This study		Z39	Z39.3	unknown	Z39.3a
1.000e-03	This study		Z39	Z39.4	unknown	Z39.4a
1.000e-03	This study		Z39	Z39.5	unknown	Z39.5a
1.000e-03	This study		Z39	Z39.6	unknown	Z39.6a
1.000e-03	This study		Z40	Z40.1	unknown	Z40.1a
1.000e-03	This study		Z40	Z40.2	unknown	Z40.2a
1.000e-03	This study		Z40	Z40.3	unknown	Z40.3a
1.000e-03	This study		Z40	Z40.4	unknown	Z40.4a
1.000e-03	This study		Z40	Z40.5	unknown	Z40.5a
1.000e-03	This study		Z40	Z40.6	unknown	Z40.6a
1.000e-03	This study		Z40	Z40.7	unknown	Z40.7a
1.000e-03	This study		Z40	Z40.8	unknown	Z40.8a
1.000e-03	This study		Z40	Z40.9	unknown	Z40.9a
1.000e-03	This study		Z41	Z41.1	unknown	Z41.1a
1.000e-03	This study		Z41	Z41.2	unknown	Z41.2a
1.000e-03	This study		Z41	Z41.3	unknown	Z41.3a
1.000e-03	This study		Z41	Z41.4	unknown	Z41.4a
1.000e-03	This study		Z41	Z41.5	unknown	Z41.5a
1.000e-03	This study		Z41	Z41.6	unknown	Z41.6a
1.000e-03	This study		Z41	Z41.7	unknown	Z41.7a
1.000e-03	This study		Z41	Z41.8	unknown	Z41.8a
1.000e-03	This study		Z42	Z42.1	unknown	Z42.1a
1.000e-03	This study		Z42	Z42.2	unknown	Z42.2a
1.000e-03	This study		Z42	Z42.3	unknown	Z42.3a
1.000e-03	This study		Z42	Z42.4	unknown	Z42.4a
1.000e-03	This study		Z42	Z42.5	unknown	Z42.5a
1.000e-03	This study		Z42	Z42.6	unknown	Z42.6a
