tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	treatment_ac_field	measurement_positions	er_citation_names	magic_software_packages	measurement_temp	measurement_magn_moment	measurement_sd_y	measurement_inc	measurement_description	measurement_sd_z	measurement_dec	measurement_sd_x	measurement_csd	magic_instrument_codes	treatment_temp	treatment_dc_field	magic_method_codes	measurement_flag
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	17	0	1	This study	pmagpy-3.2.1	273	3.18e-09	1.09e-10	-51.6		2.75e-11	034.8	7.13e-11	2.4	hargrave 2014-12-01 23:34:58	823.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	18	0	1	This study	pmagpy-3.2.1	273	3.00e-09	7.52e-11	-53.7		2.52e-11	033.9	4.86e-11	1.7	hargrave 2014-12-05 12:30:51	828.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	19	0	1	This study	pmagpy-3.2.1	273	2.85e-09	3.18e-10	-53.8		2.48e-11	034.8	2.15e-10	6.9	hargrave 2014-12-06 12:26:37	833.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	20	0	1	This study	pmagpy-3.2.1	273	2.69e-09	5.58e-11	-56.0		1.56e-11	036.6	3.74e-11	1.4	hargrave 2014-12-08 14:08:32	838.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	21	0	1	This study	pmagpy-3.2.1	273	2.75e-09	3.23e-11	-56.8		1.34e-11	034.9	2.80e-11	0.9	hargrave 2014-12-08 21:00:30	843.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	22	0	1	This study	pmagpy-3.2.1	273	2.64e-09	6.42e-11	-56.5		2.81e-11	034.8	3.41e-11	1.6	hargrave 2015-01-12 09:48:51	846.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	23	0	1	This study	pmagpy-3.2.1	273	2.68e-09	5.96e-11	-57.7		3.26e-11	035.9	3.45e-11	1.6	hargrave 2015-01-14 13:08:29	849.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	24	0	1	This study	pmagpy-3.2.1	273	2.58e-09	6.51e-11	-58.1		2.61e-11	036.9	3.81e-11	1.7	hargrave 2015-01-15 13:25:19	852.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	25	0	1	This study	pmagpy-3.2.1	273	2.57e-09	7.82e-11	-58.2		1.82e-11	038.4	3.39e-11	1.9	hargrave 2015-01-18 11:54:05	855.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	26	0	1	This study	pmagpy-3.2.1	273	2.55e-09	6.00e-11	-59.1		1.54e-11	039.3	4.46e-11	1.6	hargrave 2015-01-20 12:06:52	858.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	27	0	1	This study	pmagpy-3.2.1	273	2.51e-09	4.11e-11	-59.4		1.43e-11	039.2	3.29e-11	1.2	hargrave 2015-02-10 17:09:23	863.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	28	0	1	This study	pmagpy-3.2.1	273	2.25e-09	3.37e-11	-60.9		2.30e-11	050.3	3.58e-11	1.2	hargrave 2015-02-11 17:06:37	883.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	29	0	1	This study	pmagpy-3.2.1	273	2.07e-09	4.03e-11	-63.6		1.67e-11	049.8	3.00e-11	1.4	hargrave 2015-02-12 15:19:49	903.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	30	0	1	This study	pmagpy-3.2.1	273	1.83e-09	3.67e-11	-67.6		1.29e-11	072.3	5.07e-11	1.9	hargrave 2015-02-13 17:38:23	923.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	31	0	1	This study	pmagpy-3.2.1	273	1.73e-09	2.10e-11	-70.1		1.32e-11	088.0	3.21e-11	1.2	hargrave 2015-02-17 11:14:50	933.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	32	0	1	This study	pmagpy-3.2.1	273	1.40e-09	1.83e-11	-66.9		1.10e-11	112.5	2.11e-11	1.1	hargrave 2015-02-18 09:56:08	943.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	33	0	1	This study	pmagpy-3.2.1	273	4.60e-10	1.67e-11	-44.8		2.78e-12	139.0	1.65e-11	2.8	hargrave 2015-02-19 12:41:43	953.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	1	0	1	This study	pmagpy-3.2.1	273	5.55e-09	8.37e-11	-63.7		1.76e-10	18.1	1.02e-10	1.9		273	0	LT-NO:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	2	0	1	This study	pmagpy-3.2.1	273	5.30e-09	1.84e-10	-57.1		1.73e-10	19.7	5.95e-11	2.6		77	0	LT-LT-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	3	0	1	This study	pmagpy-3.2.1	273	5.55e-09	1.36e-10	-56.1		1.42e-10	17.0	6.91e-11	2.0		373.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	4	0	1	This study	pmagpy-3.2.1	273	5.54e-09	1.65e-10	-55.7		1.46e-10	016.4	6.50e-11	2.2	hargrave 2014-10-22 14:41:35	423.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	5	0	1	This study	pmagpy-3.2.1	273	5.35e-09	2.01e-10	-54.5		1.19e-10	013.0	4.76e-11	2.5	hargrave 2014-10-27 15:10:19	473.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	6	0	1	This study	pmagpy-3.2.1	273	5.01e-09	1.61e-10	-56.2		8.32e-11	007.5	4.44e-11	2.0	hargrave 2014-10-28 12:33:49	523.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	7	0	1	This study	pmagpy-3.2.1	273	4.78e-09	2.11e-10	-56.1		8.14e-11	007.3	3.79e-11	2.7	hargrave 2014-10-28 19:28:10	573.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	8	0	1	This study	pmagpy-3.2.1	273	4.30e-09	1.39e-10	-56.8		6.26e-11	003.0	5.04e-11	2.1	hargrave 2014-10-29 19:41:39	623.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	9	0	1	This study	pmagpy-3.2.1	273	4.06e-09	2.05e-10	-56.6		6.20e-11	004.1	3.09e-11	3.0	hargrave 2014-11-03 16:01:07	673.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	10	0	1	This study	pmagpy-3.2.1	273	3.81e-09	8.07e-11	-55.5		5.77e-11	004.0	4.42e-11	1.6	hargrave 2014-11-04 10:56:48	698.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	11	0	1	This study	pmagpy-3.2.1	273	3.75e-09	3.59e-10	-57.6		1.81e-10	004.5	2.18e-10	6.6	hargrave 2014-11-10 11:40:05	723.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	12	0	1	This study	pmagpy-3.2.1	273	3.19e-09	1.02e-10	-53.3		8.06e-11	004.5	6.81e-11	2.6	hargrave 2014-11-10 21:06:35	748.0	0	LT-T-Z:LP-DIR-T	b
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	13	0	1	This study	pmagpy-3.2.1	273	2.94e-09	1.52e-10	-52.2		4.59e-11	010.7	5.15e-11	3.2	hargrave 2014-11-13 10:32:52	773.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	14	0	1	This study	pmagpy-3.2.1	273	1.40e-09	1.65e-09	-39.8		1.20e-09	029.8	9.98e-10	52.3	hargrave 2014-11-17 16:17:34	788.0	0	LT-T-Z:LP-DIR-T	b
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	15	0	1	This study	pmagpy-3.2.1	273	2.58e-09	1.02e-10	-49.3		1.86e-10	009.4	2.19e-11	3.3	hargrave 2014-11-17 18:08:34	788.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	16	0	1	This study	pmagpy-3.2.1	273	2.69e-09	4.29e-11	-51.1		6.89e-11	011.9	4.32e-11	1.8	hargrave 2014-11-24 17:07:04	803.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	17	0	1	This study	pmagpy-3.2.1	273	2.57e-09	3.88e-11	-50.4		5.75e-11	012.2	3.93e-11	1.7	hargrave 2014-12-01 15:45:53	818.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	18	0	1	This study	pmagpy-3.2.1	273	2.53e-09	3.00e-11	-50.5		5.36e-11	013.2	5.17e-11	1.8	hargrave 2014-12-01 23:36:39	823.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	19	0	1	This study	pmagpy-3.2.1	273	2.41e-09	1.27e-10	-50.4		5.51e-11	014.3	2.31e-11	3.3	hargrave 2014-12-05 12:32:29	828.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	20	0	1	This study	pmagpy-3.2.1	273	2.31e-09	3.47e-11	-49.4		5.80e-11	017.1	4.19e-11	1.8	hargrave 2014-12-06 12:28:07	833.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	21	0	1	This study	pmagpy-3.2.1	273	2.22e-09	5.42e-11	-49.0		4.72e-11	016.5	2.64e-11	1.9	hargrave 2014-12-08 14:10:13	838.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	22	0	1	This study	pmagpy-3.2.1	273	2.22e-09	3.55e-11	-49.7		4.71e-11	013.3	4.49e-11	1.8	hargrave 2014-12-08 21:02:16	843.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	23	0	1	This study	pmagpy-3.2.1	273	2.19e-09	3.84e-11	-48.7		5.44e-11	013.9	5.62e-11	2.2	hargrave 2015-01-12 09:50:33	846.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	24	0	1	This study	pmagpy-3.2.1	273	2.17e-09	5.00e-11	-48.5		6.22e-11	016.2	4.18e-11	2.3	hargrave 2015-01-14 13:10:11	849.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	25	0	1	This study	pmagpy-3.2.1	273	2.10e-09	3.56e-11	-47.8		5.16e-11	015.2	4.35e-11	2.0	hargrave 2015-01-15 13:27:01	852.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	26	0	1	This study	pmagpy-3.2.1	273	2.11e-09	7.81e-11	-47.7		3.03e-11	016.7	3.41e-11	2.4	hargrave 2015-01-18 11:55:32	855.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	27	0	1	This study	pmagpy-3.2.1	273	2.09e-09	3.59e-11	-46.4		3.17e-11	017.2	4.51e-11	1.7	hargrave 2015-01-20 12:08:21	858.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	28	0	1	This study	pmagpy-3.2.1	273	1.99e-09	6.56e-11	-47.7		5.72e-11	016.6	4.68e-11	2.7	hargrave 2015-02-10 17:11:22	863.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	29	0	1	This study	pmagpy-3.2.1	273	1.84e-09	2.68e-11	-47.4		5.14e-11	019.9	5.38e-11	2.4	hargrave 2015-02-11 17:08:45	883.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	30	0	1	This study	pmagpy-3.2.1	273	1.82e-09	2.32e-11	-45.5		3.82e-11	022.5	3.59e-11	1.8	hargrave 2015-02-12 15:21:48	903.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	31	0	1	This study	pmagpy-3.2.1	273	1.75e-09	3.77e-11	-41.9		2.91e-11	021.8	4.41e-11	2.0	hargrave 2015-02-13 17:40:00	923.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	32	0	1	This study	pmagpy-3.2.1	273	1.60e-09	2.33e-11	-37.4		4.15e-11	022.7	3.12e-11	1.9	hargrave 2015-02-17 11:16:28	933.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	33	0	1	This study	pmagpy-3.2.1	273	1.36e-09	2.80e-11	-30.5		3.38e-11	026.3	2.45e-11	2.0	hargrave 2015-02-18 09:57:35	943.0	0	LT-T-Z:LP-DIR-T	g
Z30.2a	Z30.2	Z30	Khukh_Davaa	Z30.2a:LP-DIR-T	34	0	1	This study	pmagpy-3.2.1	273	2.38e-10	7.67e-12	-39.6		4.27e-12	109.0	1.06e-11	3.1	hargrave 2015-02-19 12:43:21	953.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	1	0	1	This study	pmagpy-3.2.1	273	9.29e-09	2.50e-10	-73.6		9.89e-11	113.3	2.08e-10	2.1		273	0	LT-NO:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	2	0	1	This study	pmagpy-3.2.1	273	8.93e-09	2.15e-10	-77.2		2.21e-11	103.2	1.33e-10	1.6		77	0	LT-LT-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	3	0	1	This study	pmagpy-3.2.1	273	1.06e-08	1.57e-10	-81.5		2.44e-11	75.5	1.42e-10	1.1		373.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	4	0	1	This study	pmagpy-3.2.1	273	1.12e-08	1.60e-10	-81.9		2.46e-11	065.3	1.09e-10	1.0	hargrave 2014-10-22 14:43:11	423.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	5	0	1	This study	pmagpy-3.2.1	273	1.12e-08	1.11e-10	-81.6		3.74e-11	058.2	1.23e-10	0.8	hargrave 2014-10-27 15:12:00	473.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	6	0	1	This study	pmagpy-3.2.1	273	1.08e-08	1.53e-10	-82.3		3.51e-11	050.9	1.63e-10	1.2	hargrave 2014-10-28 12:35:27	523.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	7	0	1	This study	pmagpy-3.2.1	273	1.03e-08	5.95e-11	-81.8		3.71e-11	045.0	1.53e-10	0.9	hargrave 2014-10-28 19:29:44	573.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	8	0	1	This study	pmagpy-3.2.1	273	9.48e-09	1.07e-10	-82.0		2.49e-11	038.7	1.28e-10	1.0	hargrave 2014-10-29 19:43:14	623.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	9	0	1	This study	pmagpy-3.2.1	273	8.89e-09	6.84e-11	-82.0		2.10e-11	034.9	1.28e-10	0.9	hargrave 2014-11-03 16:02:43	673.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	10	0	1	This study	pmagpy-3.2.1	273	8.26e-09	7.51e-11	-81.9		2.40e-11	031.7	7.89e-11	0.8	hargrave 2014-11-04 10:58:24	698.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	11	0	1	This study	pmagpy-3.2.1	273	7.92e-09	3.53e-10	-82.1		1.76e-10	025.8	2.46e-10	3.1	hargrave 2014-11-10 11:41:40	723.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	12	0	1	This study	pmagpy-3.2.1	273	6.90e-09	4.74e-11	-81.7		2.39e-11	023.3	7.83e-11	0.8	hargrave 2014-11-10 21:08:11	748.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	13	0	1	This study	pmagpy-3.2.1	273	6.40e-09	3.86e-11	-81.5		3.02e-11	028.1	8.87e-11	0.9	hargrave 2014-11-13 10:34:31	773.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	14	0	1	This study	pmagpy-3.2.1	273	5.75e-09	4.09e-11	-81.1		2.18e-10	023.5	3.63e-11	0.6	hargrave 2014-11-17 16:19:18	788.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	15	0	1	This study	pmagpy-3.2.1	273	5.89e-09	1.02e-10	-81.5		3.56e-11	022.0	5.20e-11	1.1	hargrave 2014-11-24 17:08:37	803.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	16	0	1	This study	pmagpy-3.2.1	273	5.65e-09	1.21e-10	-80.7		3.26e-11	016.2	9.94e-11	1.6	hargrave 2014-12-01 15:47:31	818.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	17	0	1	This study	pmagpy-3.2.1	273	5.42e-09	8.41e-11	-80.6		3.00e-11	018.7	8.12e-11	1.2	hargrave 2014-12-01 23:38:16	823.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	18	0	1	This study	pmagpy-3.2.1	273	5.20e-09	8.48e-11	-80.0		2.37e-11	013.2	8.04e-11	1.3	hargrave 2014-12-05 12:34:13	828.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	19	0	1	This study	pmagpy-3.2.1	273	4.94e-09	7.33e-11	-81.1		2.88e-11	013.0	5.09e-11	1.0	hargrave 2014-12-06 12:29:41	833.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	20	0	1	This study	pmagpy-3.2.1	273	4.82e-09	7.46e-11	-80.9		2.83e-11	012.7	5.41e-11	1.1	hargrave 2014-12-08 14:11:51	838.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	21	0	1	This study	pmagpy-3.2.1	273	4.82e-09	9.06e-11	-80.9		3.17e-11	008.2	4.86e-11	1.2	hargrave 2014-12-08 21:04:03	843.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	22	0	1	This study	pmagpy-3.2.1	273	4.71e-09	8.12e-11	-80.7		3.06e-11	005.9	1.16e-10	1.7	hargrave 2015-01-12 09:52:16	846.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	23	0	1	This study	pmagpy-3.2.1	273	4.66e-09	8.02e-11	-80.7		4.00e-11	005.8	1.22e-10	1.8	hargrave 2015-01-14 13:11:48	849.0	0	LT-T-Z:LP-DIR-T	g
Z30.3a	Z30.3	Z30	Khukh_Davaa	Z30.3a:LP-DIR-T	24	0	1	This study	pmagpy-3.2.1	273	4.57e-09	8.62e-11	-80.5		3.88e-11	008.1	1.15e-10	1.8	hargrave 2015-01-15 13:28:39	852.0	0	LT-T-Z:LP-DIR-T	g
