tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-17 11:14:50	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	088.0		g	-70.1	1.73e-09	31	1	3.21e-11	2.10e-11	1.32e-11	273	0	0	933.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-18 09:56:08	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	112.5		g	-66.9	1.40e-09	32	1	2.11e-11	1.83e-11	1.10e-11	273	0	0	943.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-19 12:41:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.8	139.0		g	-44.8	4.60e-10	33	1	1.65e-11	1.67e-11	2.78e-12	273	0	0	953.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.2.1	1.9	18.1		g	-63.7	5.55e-09	1	1	1.02e-10	8.37e-11	1.76e-10	273	0	0	273
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	2.6	19.7		g	-57.1	5.30e-09	2	1	5.95e-11	1.84e-10	1.73e-10	273	0	0	77
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	17.0		g	-56.1	5.55e-09	3	1	6.91e-11	1.36e-10	1.42e-10	273	0	0	373.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-10-22 14:41:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.2	016.4		g	-55.7	5.54e-09	4	1	6.50e-11	1.65e-10	1.46e-10	273	0	0	423.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-10-27 15:10:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.5	013.0		g	-54.5	5.35e-09	5	1	4.76e-11	2.01e-10	1.19e-10	273	0	0	473.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-10-28 12:33:49	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	007.5		g	-56.2	5.01e-09	6	1	4.44e-11	1.61e-10	8.32e-11	273	0	0	523.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-10-28 19:28:10	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	007.3		g	-56.1	4.78e-09	7	1	3.79e-11	2.11e-10	8.14e-11	273	0	0	573.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-10-29 19:41:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	003.0		g	-56.8	4.30e-09	8	1	5.04e-11	1.39e-10	6.26e-11	273	0	0	623.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-03 16:01:07	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.0	004.1		g	-56.6	4.06e-09	9	1	3.09e-11	2.05e-10	6.20e-11	273	0	0	673.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-04 10:56:48	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	004.0		g	-55.5	3.81e-09	10	1	4.42e-11	8.07e-11	5.77e-11	273	0	0	698.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-10 11:40:05	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.6	004.5		g	-57.6	3.75e-09	11	1	2.18e-10	3.59e-10	1.81e-10	273	0	0	723.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-10 21:06:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.6	004.5		b	-53.3	3.19e-09	12	1	6.81e-11	1.02e-10	8.06e-11	273	0	0	748.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-13 10:32:52	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.2	010.7		g	-52.2	2.94e-09	13	1	5.15e-11	1.52e-10	4.59e-11	273	0	0	773.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-17 16:17:34	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	52.3	029.8		b	-39.8	1.40e-09	14	1	9.98e-10	1.65e-09	1.20e-09	273	0	0	788.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-17 18:08:34	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	009.4		g	-49.3	2.58e-09	15	1	2.19e-11	1.02e-10	1.86e-10	273	0	0	788.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-11-24 17:07:04	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	011.9		g	-51.1	2.69e-09	16	1	4.32e-11	4.29e-11	6.89e-11	273	0	0	803.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-12-01 15:45:53	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	012.2		g	-50.4	2.57e-09	17	1	3.93e-11	3.88e-11	5.75e-11	273	0	0	818.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-12-01 23:36:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	013.2		g	-50.5	2.53e-09	18	1	5.17e-11	3.00e-11	5.36e-11	273	0	0	823.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-12-05 12:32:29	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	014.3		g	-50.4	2.41e-09	19	1	2.31e-11	1.27e-10	5.51e-11	273	0	0	828.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-12-06 12:28:07	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	017.1		g	-49.4	2.31e-09	20	1	4.19e-11	3.47e-11	5.80e-11	273	0	0	833.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-12-08 14:10:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	016.5		g	-49.0	2.22e-09	21	1	2.64e-11	5.42e-11	4.72e-11	273	0	0	838.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2014-12-08 21:02:16	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	013.3		g	-49.7	2.22e-09	22	1	4.49e-11	3.55e-11	4.71e-11	273	0	0	843.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-01-12 09:50:33	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.2	013.9		g	-48.7	2.19e-09	23	1	5.62e-11	3.84e-11	5.44e-11	273	0	0	846.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-01-14 13:10:11	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.3	016.2		g	-48.5	2.17e-09	24	1	4.18e-11	5.00e-11	6.22e-11	273	0	0	849.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-01-15 13:27:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	015.2		g	-47.8	2.10e-09	25	1	4.35e-11	3.56e-11	5.16e-11	273	0	0	852.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-01-18 11:55:32	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	016.7		g	-47.7	2.11e-09	26	1	3.41e-11	7.81e-11	3.03e-11	273	0	0	855.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-01-20 12:08:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	017.2		g	-46.4	2.09e-09	27	1	4.51e-11	3.59e-11	3.17e-11	273	0	0	858.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-10 17:11:22	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	016.6		g	-47.7	1.99e-09	28	1	4.68e-11	6.56e-11	5.72e-11	273	0	0	863.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-11 17:08:45	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	019.9		g	-47.4	1.84e-09	29	1	5.38e-11	2.68e-11	5.14e-11	273	0	0	883.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-12 15:21:48	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	022.5		g	-45.5	1.82e-09	30	1	3.59e-11	2.32e-11	3.82e-11	273	0	0	903.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-13 17:40:00	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	021.8		g	-41.9	1.75e-09	31	1	4.41e-11	3.77e-11	2.91e-11	273	0	0	923.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-17 11:16:28	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	022.7		g	-37.4	1.60e-09	32	1	3.12e-11	2.33e-11	4.15e-11	273	0	0	933.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-18 09:57:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	026.3		g	-30.5	1.36e-09	33	1	2.45e-11	2.80e-11	3.38e-11	273	0	0	943.0
This study	unknown	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-19 12:43:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	109.0		g	-39.6	2.38e-10	34	1	1.06e-11	7.67e-12	4.27e-12	273	0	0	953.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.2.1	2.1	113.3		g	-73.6	9.29e-09	1	1	2.08e-10	2.50e-10	9.89e-11	273	0	0	273
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	1.6	103.2		g	-77.2	8.93e-09	2	1	1.33e-10	2.15e-10	2.21e-11	273	0	0	77
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	75.5		g	-81.5	1.06e-08	3	1	1.42e-10	1.57e-10	2.44e-11	273	0	0	373.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-10-22 14:43:11	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	065.3		g	-81.9	1.12e-08	4	1	1.09e-10	1.60e-10	2.46e-11	273	0	0	423.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-10-27 15:12:00	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.8	058.2		g	-81.6	1.12e-08	5	1	1.23e-10	1.11e-10	3.74e-11	273	0	0	473.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-10-28 12:35:27	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	050.9		g	-82.3	1.08e-08	6	1	1.63e-10	1.53e-10	3.51e-11	273	0	0	523.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-10-28 19:29:44	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	045.0		g	-81.8	1.03e-08	7	1	1.53e-10	5.95e-11	3.71e-11	273	0	0	573.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-10-29 19:43:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	038.7		g	-82.0	9.48e-09	8	1	1.28e-10	1.07e-10	2.49e-11	273	0	0	623.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-11-03 16:02:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	034.9		g	-82.0	8.89e-09	9	1	1.28e-10	6.84e-11	2.10e-11	273	0	0	673.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-11-04 10:58:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.8	031.7		g	-81.9	8.26e-09	10	1	7.89e-11	7.51e-11	2.40e-11	273	0	0	698.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-11-10 11:41:40	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	025.8		g	-82.1	7.92e-09	11	1	2.46e-10	3.53e-10	1.76e-10	273	0	0	723.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-11-10 21:08:11	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.8	023.3		g	-81.7	6.90e-09	12	1	7.83e-11	4.74e-11	2.39e-11	273	0	0	748.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-11-13 10:34:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	028.1		g	-81.5	6.40e-09	13	1	8.87e-11	3.86e-11	3.02e-11	273	0	0	773.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-11-17 16:19:18	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.6	023.5		g	-81.1	5.75e-09	14	1	3.63e-11	4.09e-11	2.18e-10	273	0	0	788.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-11-24 17:08:37	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	022.0		g	-81.5	5.89e-09	15	1	5.20e-11	1.02e-10	3.56e-11	273	0	0	803.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-12-01 15:47:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	016.2		g	-80.7	5.65e-09	16	1	9.94e-11	1.21e-10	3.26e-11	273	0	0	818.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-12-01 23:38:16	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	018.7		g	-80.6	5.42e-09	17	1	8.12e-11	8.41e-11	3.00e-11	273	0	0	823.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-12-05 12:34:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.3	013.2		g	-80.0	5.20e-09	18	1	8.04e-11	8.48e-11	2.37e-11	273	0	0	828.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-12-06 12:29:41	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	013.0		g	-81.1	4.94e-09	19	1	5.09e-11	7.33e-11	2.88e-11	273	0	0	833.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-12-08 14:11:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	012.7		g	-80.9	4.82e-09	20	1	5.41e-11	7.46e-11	2.83e-11	273	0	0	838.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2014-12-08 21:04:03	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	008.2		g	-80.9	4.82e-09	21	1	4.86e-11	9.06e-11	3.17e-11	273	0	0	843.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-01-12 09:52:16	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	005.9		g	-80.7	4.71e-09	22	1	1.16e-10	8.12e-11	3.06e-11	273	0	0	846.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-01-14 13:11:48	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	005.8		g	-80.7	4.66e-09	23	1	1.22e-10	8.02e-11	4.00e-11	273	0	0	849.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-01-15 13:28:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	008.1		g	-80.5	4.57e-09	24	1	1.15e-10	8.62e-11	3.88e-11	273	0	0	852.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-01-18 11:56:56	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	005.1		g	-80.2	4.59e-09	25	1	1.42e-10	5.58e-11	3.67e-11	273	0	0	855.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-01-20 12:09:46	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	004.0		g	-80.0	4.49e-09	26	1	1.28e-10	8.44e-11	3.07e-11	273	0	0	858.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-10 17:13:17	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	008.1		g	-80.6	4.40e-09	27	1	1.20e-10	5.42e-11	3.21e-11	273	0	0	863.0
This study	unknown	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-11 17:10:42	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	004.8		g	-80.2	4.05e-09	28	1	1.35e-10	5.66e-11	3.00e-11	273	0	0	883.0
